北松戸,馬橋,1.35232
馬橋,新松戸,1.57008
新松戸,北小金,1.27877
北小金,南柏,2.40483
南柏,柏,2.49283
柏,北柏,2.12246
北柏,我孫子,2.04548
我孫子,天王台,2.77027
大崎,恵比寿,3.42221
恵比寿,渋谷,1.57254
渋谷,新宿,3.43197
新宿,池袋,4.60732
池袋,板橋,1.85106
板橋,十条,1.67343
十条,赤羽,1.97222
赤羽,北赤羽,1.69903
北赤羽,浮間舟渡,1.37602
浮間舟渡,戸田公園,2.20249
戸田公園,戸田,1.33665
戸田,北戸田,1.27161
北戸田,武蔵浦和,2.44184
武蔵浦和,中浦和,1.2761
中浦和,南与野,1.627
南与野,与野本町,1.56965
与野本町,北与野,1.10196
北与野,大宮,1.79822
大宮,日進,3.22632
日進,西大宮,2.58405
指扇,南古谷,4.40213
南古谷,川越,3.2647
川越,西川越,2.51006
西川越,的場,2.20187
的場,笠幡,2.84832
笠幡,武蔵高萩,3.2267
武蔵高萩,高麗川,3.03541
西大宮,指扇,1.45914
上野,尾久,4.22868
尾久,赤羽,4.56669
赤羽,浦和,10.6384
浦和,さいたま新都心,4.46773
さいたま新都心,大宮,1.64078
大宮,宮原,3.98332
宮原,上尾,4.15482
上尾,北上尾,1.68253
北上尾,桶川,1.83439
桶川,北本,4.65711
北本,鴻巣,3.70722
鴻巣,北鴻巣,4.14564
北鴻巣,吹上,2.89203
吹上,行田,2.23863
行田,熊谷,4.75504
熊谷,籠原,6.60881
籠原,深谷,4.77497
深谷,岡部,4.22712
岡部,本庄,5.58051
本庄,神保原,4.00483
千葉,本千葉,1.546
本千葉,蘇我,2.30438
蘇我,鎌取,4.82638
鎌取,誉田,3.634
誉田,土気,5.37803
土気,大網,3.85592
大網,永田,116.756
永田,本納,119.184
本納,新茂原,3.71335
新茂原,茂原,2.55872
茂原,八積,4.51407
八積,上総一ノ宮,3.84278
上総一ノ宮,東浪見,3.14994
東浪見,太東,3.00185
太東,長者町,2.70265
長者町,三門,1.6105
三門,大原,3.47876
大原,浪花,3.32678
浪花,御宿,4.58968
御宿,勝浦,5.34023
勝浦,鵜原,3.33698
鵜原,上総興津,2.57508
上総興津,行川アイランド,2.99321
行川アイランド,安房小湊,3.52154
安房小湊,安房天津,3.27879
安房天津,安房鴨川,5.04588
千葉,本千葉,1.546
本千葉,蘇我,2.30438
蘇我,浜野,3.35899
浜野,八幡宿,2.05542
八幡宿,五井,3.78165
五井,姉ヶ崎,5.77265
姉ヶ崎,長浦,5.24495
長浦,袖ヶ浦,3.96403
袖ヶ浦,巌根,2.97795
巌根,木更津,3.6838
木更津,君津,6.01267
君津,青堀,3.42243
青堀,大貫,4.30362
大貫,佐貫町,3.97379
佐貫町,上総湊,4.27914
上総湊,竹岡,4.58946
竹岡,浜金谷,3.34578
浜金谷,保田,3.30851
保田,安房勝山,3.08327
安房勝山,岩井,2.76966
岩井,富浦,5.33108
富浦,那古船形,2.27285
那古船形,館山,3.80135
館山,九重,4.51206
九重,千倉,4.5779
千倉,千歳,1.97621
千歳,南三原,3.46781
南三原,和田浦,4.34362
和田浦,江見,4.41613
江見,太海,3.8328
太海,安房鴨川,2.97038
東京,八丁堀,1.22246
八丁堀,越中島,1.61518
越中島,潮見,2.45088
潮見,新木場,1.6636
新木場,葛西臨海公園,3.09011
葛西臨海公園,舞浜,2.20596
舞浜,新浦安,3.00252
新浦安,市川塩浜,2.14392
市川塩浜,西船橋,5.5673
市川塩浜,二俣新町,4.24676
西船橋,南船橋,4.32843
二俣新町,南船橋,3.43888
南船橋,新習志野,2.22676
新習志野,幕張豊砂,1.66998
海浜幕張,検見川浜,1.96731
検見川浜,稲毛海岸,1.61987
稲毛海岸,千葉みなと,3.55848
千葉みなと,蘇我,3.80333
幕張豊砂,海浜幕張,1.70011
佐倉,酒々井,5.01898
酒々井,成田,6.19283
成田,空港第２ビル（第２旅客ターミナル）,6.62928
成田,久住,6.46163
空港第２ビル（第２旅客ターミナル）,成田空港（第１旅客ターミナル）,1.10336
久住,滑河,5.05146
滑河,下総神崎,5.9897
下総神崎,大戸,4.28255
大戸,佐原,3.30351
