station_name,lat,lon,station_cd,yomi,pref_cd
庚申塚,35.739563,139.729743,9930521,こうしんづか,13
巣鴨新田,35.735488,139.727769,9930522,すがもしんでん,13
大塚駅前,35.731583,139.729333,9930523,おおつかえきまえ,13
向原,35.728938,139.724894,9930524,むこうはら,34
東池袋四丁目,35.72528,139.720012,9930525,ひがしいけぶくろよんちょうめ,13
都電雑司ヶ谷,35.724261,139.718006,9930526,とでんぞうしがや,13
鬼子母神前,35.720333,139.715,9930527,きしぼじんまえ,13
学習院下,35.716248,139.71247,9930528,がくしゅういんした,13
面影橋,35.712981,139.714444,9930529,おもかげばし,13
西羽生,36.17635,139.523986,9930602,,11
新郷,36.171317,139.510474,9930603,,33
武州荒木,36.162614,139.488569,9930604,,11
東行田,36.147265,139.468394,9930605,,11
行田市,36.143759,139.458851,9930606,,11
持田,36.137615,139.44155,9930607,,11
ソシオ流通センター,36.1365,139.424333,9930636,,11
上熊谷,36.142657,139.38134,9930609,,11
石原,36.147612,139.368901,9930610,,26
ひろせ野鳥の森,36.146242,139.352086,9930611,,11
大麻生,36.144612,139.331859,9930612,,11
明戸,36.142958,139.303306,9930613,,11
武川,36.142197,139.281714,9930614,,11
ふかや花園,36.132056,139.251472,9930637,,11
小前田,36.12895,139.222386,9930616,,11
桜沢,36.128672,139.206981,9930617,,11
波久礼,36.126728,139.158078,9930619,,11
樋口,36.131076,139.122226,9930620,,11
野上,36.11157,139.110865,9930621,,11
長瀞,36.095462,139.112346,9930622,,11
上長瀞,36.086169,139.11319,9930623,,11
親鼻,36.077539,139.106103,9930624,,11
皆野,36.068682,139.093947,9930625,,11
和銅黒谷,36.046671,139.101666,9930626,,11
大野原,36.018586,139.094071,9930627,,11
秩父,35.99883,139.086044,9930628,,11
御花畑,35.992369,139.083614,9930629,,11
影森,35.972015,139.068413,9930630,,11
浦山口,35.963922,139.058134,9930631,,11
武州中川,35.958347,139.035439,9930632,,11
武州日野,35.953867,139.021888,9930633,,11
白久,35.95895,138.993263,9930634,,11
三峰口,35.960075,138.978706,9930635,,11
川口元郷,35.800187,139.730043,9930702,,11
南鳩ヶ谷,35.816839,139.736059,9930703,,11
